intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",86.1836505742
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",83.3501661015
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",89.9354594442
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",67.6109972549
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",69.3322988658
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",65.4033713129
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",73.2836757696
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",80.2928651197
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",77.2818298737
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",71.9031766196
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",74.5391926919
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",72.7782881628
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",83.43414741
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",89.7785881836
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",84.7578427316
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",86.2155467591
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",78.9627842807
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",75.6732243759
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",78.9342013217
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",85.0778122753
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",79.1709120942
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",75.8181497824
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",76.7285624225
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.8310977033
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",83.0909290115
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",82.4021596434
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",75.0956456171
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",91.6886894202
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",82.7896392903
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",75.3051343705
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",80.4336367354
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",79.4579790401
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",76.1573534084
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",78.9223111608
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",74.4863499937
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",82.2100837673
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",76.7624057353
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",80.8674478193
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",79.0358802562
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",71.5372079745
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",74.5274472696
