intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-11 08:00:00,2016-10-11 08:20:00)",68.0925
A,2,"[2016-10-11 08:20:00,2016-10-11 08:40:00)",75.0236363636
A,2,"[2016-10-11 08:40:00,2016-10-11 09:00:00)",75.0032
A,2,"[2016-10-11 09:00:00,2016-10-11 09:20:00)",69.7490909091
A,2,"[2016-10-11 09:20:00,2016-10-11 09:40:00)",55.2772222222
A,2,"[2016-10-11 09:40:00,2016-10-11 10:00:00)",70.2642857143
A,2,"[2016-10-12 08:00:00,2016-10-12 08:20:00)",86.1578571429
A,2,"[2016-10-12 08:20:00,2016-10-12 08:40:00)",83.275
A,2,"[2016-10-12 08:40:00,2016-10-12 09:00:00)",90.036
A,2,"[2016-10-12 09:00:00,2016-10-12 09:20:00)",67.485
A,2,"[2016-10-12 09:20:00,2016-10-12 09:40:00)",69.2576190476
A,2,"[2016-10-12 09:40:00,2016-10-12 10:00:00)",65.3185714286
A,2,"[2016-10-13 08:00:00,2016-10-13 08:20:00)",82.5915384615
A,2,"[2016-10-13 08:20:00,2016-10-13 08:40:00)",85.2046666667
A,2,"[2016-10-13 08:40:00,2016-10-13 09:00:00)",98.2093333333
A,2,"[2016-10-13 09:00:00,2016-10-13 09:20:00)",75.0996969697
A,2,"[2016-10-13 09:20:00,2016-10-13 09:40:00)",75.4066666667
A,2,"[2016-10-13 09:40:00,2016-10-13 10:00:00)",67.779
A,2,"[2016-10-14 08:00:00,2016-10-14 08:20:00)",73.99
A,2,"[2016-10-14 08:20:00,2016-10-14 08:40:00)",110.1476
A,2,"[2016-10-14 08:40:00,2016-10-14 09:00:00)",68.4687878788
A,2,"[2016-10-14 09:00:00,2016-10-14 09:20:00)",70.4285714286
A,2,"[2016-10-14 09:20:00,2016-10-14 09:40:00)",78.674
A,2,"[2016-10-14 09:40:00,2016-10-14 10:00:00)",72.973125
A,2,"[2016-10-15 08:00:00,2016-10-15 08:20:00)",109.265555556
A,2,"[2016-10-15 08:20:00,2016-10-15 08:40:00)",78.04125
A,2,"[2016-10-15 08:40:00,2016-10-15 09:00:00)",141.310909091
A,2,"[2016-10-15 09:00:00,2016-10-15 09:20:00)",140.502631579
A,2,"[2016-10-15 09:20:00,2016-10-15 09:40:00)",147.658518519
A,2,"[2016-10-15 09:40:00,2016-10-15 10:00:00)",152.491428571
A,2,"[2016-10-16 08:00:00,2016-10-16 08:20:00)",65.0991666667
A,2,"[2016-10-16 08:20:00,2016-10-16 08:40:00)",78.607
A,2,"[2016-10-16 08:40:00,2016-10-16 09:00:00)",91.1177777778
A,2,"[2016-10-16 09:00:00,2016-10-16 09:20:00)",73.684
A,2,"[2016-10-16 09:20:00,2016-10-16 09:40:00)",69.4152
A,2,"[2016-10-16 09:40:00,2016-10-16 10:00:00)",66.8288235294
A,2,"[2016-10-17 08:00:00,2016-10-17 08:20:00)",133.5825
A,2,"[2016-10-17 08:20:00,2016-10-17 08:40:00)",108.33375
A,2,"[2016-10-17 08:40:00,2016-10-17 09:00:00)",84.3135714286
A,2,"[2016-10-17 09:00:00,2016-10-17 09:20:00)",87.3592857143
A,2,"[2016-10-17 09:20:00,2016-10-17 09:40:00)",66.5143478261
A,2,"[2016-10-17 09:40:00,2016-10-17 10:00:00)",53.20875
A,3,"[2016-10-11 08:00:00,2016-10-11 08:20:00)",146.16125
A,3,"[2016-10-11 08:20:00,2016-10-11 08:40:00)",168.431818182
A,3,"[2016-10-11 08:40:00,2016-10-11 09:00:00)",180.401428571
A,3,"[2016-10-11 09:00:00,2016-10-11 09:20:00)",142.722857143
A,3,"[2016-10-11 09:20:00,2016-10-11 09:40:00)",121.82
A,3,"[2016-10-11 09:40:00,2016-10-11 10:00:00)",121.44
A,3,"[2016-10-12 08:00:00,2016-10-12 08:20:00)",171.628888889
A,3,"[2016-10-12 08:20:00,2016-10-12 08:40:00)",189.108
A,3,"[2016-10-12 08:40:00,2016-10-12 09:00:00)",207.501428571
A,3,"[2016-10-12 09:00:00,2016-10-12 09:20:00)",172.925
A,3,"[2016-10-12 09:20:00,2016-10-12 09:40:00)",138.974
A,3,"[2016-10-12 09:40:00,2016-10-12 10:00:00)",143.11
A,3,"[2016-10-13 08:00:00,2016-10-13 08:20:00)",176.524
A,3,"[2016-10-13 08:20:00,2016-10-13 08:40:00)",105.60875
A,3,"[2016-10-13 08:40:00,2016-10-13 09:00:00)",159.42125
A,3,"[2016-10-13 09:00:00,2016-10-13 09:20:00)",156.361
A,3,"[2016-10-13 09:20:00,2016-10-13 09:40:00)",230.054166667
A,3,"[2016-10-13 09:40:00,2016-10-13 10:00:00)",96.76
